tagid,W4S2_Date
TAG_001,2/11/21
TAG_002,1/30/21
TAG_005,11/3/21
TAG_008,2/6/21
TAG_010,6/10/21
TAG_011,10/23/21
TAG_016,3/11/21
TAG_019,2/6/21
TAG_020,2/17/21
TAG_022,5/4/21
TAG_026,2/14/21
TAG_030,5/2/21
TAG_032,9/14/21
TAG_033,3/6/21
TAG_034,3/10/21
TAG_037,3/4/21
TAG_041,7/6/21
TAG_042,10/27/21
TAG_044,7/19/21
TAG_049,7/15/21
TAG_050,3/27/21
TAG_052,10/9/21
TAG_057,2/27/21
TAG_058,6/14/21
TAG_060,7/16/21
TAG_062,7/13/21
TAG_065,9/26/21
TAG_069,3/22/21
TAG_084,9/22/21
TAG_085,9/29/21
TAG_086,9/7/21
TAG_090,9/13/21
TAG_093,7/12/21
TAG_094,8/11/21
TAG_104,11/2/21
TAG_105,11/7/21
TAG_131,5/16/21
TAG_140,10/18/21
TAG_141,9/20/21
TAG_149,10/16/21
TAG_159,9/21/21
TAG_160,9/30/21
TAG_209,6/17/21
TAG_211,10/11/21