"","tagid","survey_name","CAMM_1","CAMM_10","CAMM_2","CAMM_3","CAMM_4","CAMM_5","CAMM_6","CAMM_7","CAMM_8","CAMM_9","survey_type","survey_date","CAMM_N","CAMM_missing","CAMM_missing_perc","CAMM_mean","CAMM_total"
"1","TAG001","W3 Home Qs - V1",2,3,3,2,2,2,2,2,2,2,"Home","2019-02-16",10,0,0,2.2,22
"2","TAG002","W3 Home Qs - V1",2,2,3,1,2,2,2,1,1,1,"Home","2019-01-08",10,0,0,1.7,17
"3","TAG003","W3 Home Qs - V3",2,2,2,1,1,1,3,2,0,3,"Home","2019-10-04",10,0,0,1.7,17
"4","TAG005","W3 Home Qs - V3",4,3,4,4,3,3,2,3,2,3,"Home","2019-10-28",10,0,0,3.1,31
"5","TAG007","W3 Home Qs - V3",2,3,1,2,2,2,2,2,3,2,"Home","2019-07-27",10,0,0,2.1,21
"6","TAG008","W3 Home Qs - V1",2,2,2,2,2,1,1,1,1,1,"Home","2019-02-07",10,0,0,1.5,15
"7","TAG009","W3 Home Qs - Current V4",2,3,2,1,1,2,0,0,0,0,"Home","2019-11-08",10,0,0,1.1,11
"8","TAG010","W3 - Home Qs - V2 IN LAB",3,4,4,4,4,4,4,4,3,4,"Home","2019-08-13",10,0,0,3.8,38
"9","TAG018","W3 Home Qs - V3",3,3,3,3,4,4,2,3,3,3,"Home","2019-08-27",10,0,0,3.1,31
"10","TAG019","W3 Home Qs - V1",2,2,2,1,2,2,2,1,1,1,"Home","2019-04-15",10,0,0,1.6,16
"11","TAG020","W3 Home Qs - V1",3,3,2,2,3,3,2,3,3,3,"Home","2019-03-30",10,0,0,2.7,27
"12","TAG026","W3 Home Qs - V1",2,2,3,3,1,1,3,1,1,1,"Home","2019-02-02",10,0,0,1.8,18
"13","TAG027","W3 Home Qs - V3",3,3,3,3,2,2,1,2,1,2,"Home","2019-08-05",10,0,0,2.2,22
"14","TAG028","W3 Home Qs - V3",2,2,4,2,2,1,1,1,2,4,"Home","2019-09-28",10,0,0,2.1,21
"15","TAG030","W3 Home Qs - V1",4,4,4,4,4,4,4,4,4,4,"Home","2019-02-22",10,0,0,4,40
"16","TAG032","W3 Home Qs - V3",2,1,2,2,2,1,1,1,1,1,"Home","2019-08-09",10,0,0,1.4,14
"17","TAG033","W3 Home Qs - V1",1,3,1,2,2,1,2,2,1,1,"Home","2019-03-27",10,0,0,1.6,16
"18","TAG034","W3 Home Qs - V1",1,3,2,3,3,1,0,2,2,3,"Home","2019-03-16",10,0,0,2,20
"19","TAG035","W3 Home Qs - V1",1,2,2,1,3,1,2,2,3,3,"Home","2019-02-10",10,0,0,2,20
"20","TAG037","W3 Home Qs - V1",4,4,4,3,4,3,2,4,2,3,"Home","2019-03-31",10,0,0,3.3,33
"21","TAG040","W3 Home Qs - V3",2,2,3,2,2,2,2,2,2,2,"Home","2019-10-19",10,0,0,2.1,21
"22","TAG041","W3 - Home Qs - V2 IN LAB",3,1,3,3,3,3,3,3,3,3,"Home","2019-06-08",10,0,0,2.8,28
"23","TAG044","W3 Home Qs - V1",3,3,1,2,2,3,3,2,2,1,"Home","2019-05-19",10,0,0,2.2,22
"24","TAG045","W3 Home Qs - V3",4,4,3,4,4,4,4,4,3,4,"Home","2019-08-12",10,0,0,3.8,38
"25","TAG046","W3 Home Qs - Current V4",2,2,2,2,2,2,2,2,2,2,"Home","2019-11-15",10,0,0,2,20
"26","TAG047","W3 Home Qs - V3",4,4,2,4,4,2,0,4,4,3,"Home","2019-10-11",10,0,0,3.1,31
"27","TAG048","W3 Home Qs - Current V4",0,2,1,1,1,1,0,0,2,0,"Home","2020-01-06",10,0,0,0.8,8
"28","TAG049","W3 Home Qs - V3",3,2,2,2,2,2,1,3,2,3,"Home","2019-09-19",10,0,0,2.2,22
"29","TAG050","W3 Home Qs - V1",1,1,1,1,2,1,0,1,2,2,"Home","2019-04-25",10,0,0,1.2,12
"30","TAG051","W3 Home Qs - V1",4,4,3,4,4,2,2,3,3,4,"Home","2019-04-27",10,0,0,3.3,33
"31","TAG052","W3 - Home Qs - V2 IN LAB",2,2,2,2,2,2,2,2,2,2,"Home","2019-08-14",10,0,0,2,20
"32","TAG053","W3 Home Qs - V3",1,3,0,0,1,4,1,1,1,1,"Home","2019-06-04",10,0,0,1.3,13
"33","TAG054","W3 - Home Qs - V2 IN LAB",4,4,2,3,4,4,4,4,4,4,"Home","2019-07-15",10,0,0,3.7,37
"34","TAG055","W3 Home Qs - V3",1,3,3,3,2,3,2,1,1,3,"Home","2019-05-31",10,0,0,2.2,22
"35","TAG056","W3 Home Qs - V3",3,4,2,3,2,3,2,4,1,3,"Home","2019-08-24",10,0,0,2.7,27
"36","TAG057","W3 Home Qs - V1",3,2,4,3,1,1,2,2,2,3,"Home","2019-03-27",10,0,0,2.3,23
"37","TAG058","W3 Home Qs - V3",0,3,1,2,3,2,2,1,0,2,"Home","2019-06-01",10,0,0,1.6,16
"38","TAG059","W3 Home Qs - V3",2,2,3,1,2,2,3,2,3,2,"Home","2019-06-28",10,0,0,2.2,22
"39","TAG060","W3 Home Qs - V1",4,4,3,4,4,4,4,4,3,4,"Home","2019-05-02",10,0,0,3.8,38
"40","TAG062","W3 Home Qs - V3",3,1,4,3,3,1,2,2,2,2,"Home","2019-09-19",10,0,0,2.3,23
"41","TAG064","W3 - Home Qs - V2 IN LAB",3,3,3,4,3,3,3,4,3,4,"Home","2019-06-27",10,0,0,3.3,33
"42","TAG065","W3 Home Qs - V3",2,2,2,1,2,2,3,3,2,4,"Home","2019-06-26",10,0,0,2.3,23
"43","TAG066","W3 Home Qs - V3",2,3,3,4,3,3,3,2,2,2,"Home","2019-08-03",10,0,0,2.7,27
"44","TAG067","W3 Home Qs - Current V2",4,3,3,3,3,3,3,3,3,3,"Home","2019-05-17",10,0,0,3.1,31
"45","TAG068","W3 Home Qs - Current V4",2,4,4,3,2,3,3,4,4,3,"Home","2020-01-04",10,0,0,3.2,32
"46","TAG069","W3 Home Qs - V1",1,3,1,3,2,3,2,2,3,3,"Home","2019-05-11",10,0,0,2.3,23
"47","TAG071","W3 Home Qs - V3",4,4,4,4,4,4,4,4,2,4,"Home","2019-10-13",10,0,0,3.8,38
"48","TAG075","W3 Home Qs - Current V4",2,3,3,1,2,1,2,2,2,3,"Home","2019-11-16",10,0,0,2.1,21
"49","TAG076","W3 Home Qs - V3",4,4,3,4,3,2,2,4,2,3,"Home","2019-09-26",10,0,0,3.1,31
"50","TAG078","W3 Home Qs - Current V4",1,1,1,3,2,2,1,2,2,2,"Home","2019-11-11",10,0,0,1.7,17
"51","TAG084","W3 Home Qs - V3",4,4,2,4,3,1,3,2,1,3,"Home","2019-07-22",10,0,0,2.7,27
"52","TAG085","W3 Home Qs - V3",1,3,0,1,1,2,2,2,2,1,"Home","2019-08-14",10,0,0,1.5,15
"53","TAG086","W3 Home Qs - V3",3,3,1,1,2,2,2,2,2,3,"Home","2019-07-22",10,0,0,2.1,21
"54","TAG088","W3 Home Qs - Current V4",4,3,4,4,4,3,4,4,3,4,"Home","2019-11-07",10,0,0,3.7,37
"55","TAG090","W3 Home Qs - V3",1,3,2,2,1,2,3,1,1,1,"Home","2019-08-03",10,0,0,1.7,17
"56","TAG094","W3 Home Qs - V3",3,2,2,3,3,3,3,3,2,2,"Home","2019-06-21",10,0,0,2.6,26
"57","TAG100","W3 Home Qs - Current V4",2,1,2,3,2,3,4,2,3,4,"Home","2019-12-12",10,0,0,2.6,26
"58","TAG104","W3 Home Qs - V3",0,2,1,1,0,3,2,1,1,1,"Home","2019-10-11",10,0,0,1.2,12
"59","TAG119","W3 Home Qs - V3",0,1,1,2,1,1,1,1,0,1,"Home","2019-10-21",10,0,0,0.9,9
"60","TAG138","W3 Home Qs - Current V4",1,2,2,1,3,2,2,2,3,1,"Home","2019-11-15",10,0,0,1.9,19
"61","TAG140","W3 Home Qs - Current V4",1,3,3,2,2,2,2,2,1,3,"Home","2019-11-01",10,0,0,2.1,21
"62","TAG149","W3 Home Qs - V3",3,2,4,4,3,1,3,3,2,2,"Home","2019-07-27",10,0,0,2.7,27
"63","TAG159","W3 Home Qs - V3",3,3,2,0,0,3,3,0,2,4,"Home","2019-08-10",10,0,0,2,20
"64","TAG160","W3 Home Qs - V3",3,3,3,3,2,2,3,3,2,2,"Home","2019-09-16",10,0,0,2.6,26
"65","TAG164","W3 Home Qs - V3",2,3,2,2,2,2,2,2,2,2,"Home","2019-08-28",10,0,0,2.1,21
"66","TAG177","W3 Home Qs - Current V4",3,2,2,2,3,2,1,2,2,2,"Home","2019-11-14",10,0,0,2.1,21
"67","TAG181","W3 Home Qs - V3",0,1,1,1,1,2,1,1,0,1,"Home","2019-10-08",10,0,0,0.9,9
