7.1_1,7.1_2,7.1_3,7.1_4,7.2_1,7.2_2,7.2_3,7.2_4,7.3_1,7.3_2,7.3_3,7.3_4,ASC_20a,ASC_20b,ASC_20c,ASC_20d
5,3,6,1,4,1,3,1,7,4,7,1,3,6,4,3
2,3,3,4,5,5,4,5,7,7,6,7,4,3,3,4
3,3,5,1,4,4,4,4,5,3,7,1,4,2,3,4
6,6,6,1,4,6,6,1,6,7,7,2,,,,
4,6,7,4,6,6,6,6,2,6,7,1,,3,4,2
5,5,6,1,5,5,6,1,5,5,6,1,2,5,4,3
4,3,5,1,5,6,5,,6,6,6,,2,5,5,2
5,5,6,2,5,5,5,5,6,6,7,2,4,2,3,2
4,4,4,4,6,6,6,6,7,7,7,7,2,3,5,2
3,4,5,1,3,4,4,1,4,4,4,1,3,3,3,3
7,6,7,5,6,6,6,4,7,5,7,2,4,1,2,5
4,4,4,1,5,5,5,3,2,2,2,1,5,2,2,5
4,4,4,4,5,5,5,5,6,6,6,6,2,3,4,1
4,4,5,3,5,6,5,4,6,6,7,6,2,5,4,2
5,4,6,3,5,5,5,4,6,6,6,6,2,5,5,2
4,4,6,3,5,5,5,5,6,7,7,6,2,4,5,2
4,3,5,1,5,5,5,5,6,5,6,3,5,2,2,5
7,4,6,4,5,5,5,6,4,3,6,3,4,2,3,3
4,1,5,1,2,1,4,1,4,4,6,3,3,4,4,2
4,3,6,2,6,4,5,3,7,7,7,2,5,6,5,6
5,4,6,1,4,4,6,2,6,6,7,4,4,5,5,2
4,6,7,4,5,4,5,4,5,4,5,7,4,3,3,2
5,4,5,1,5,5,4,2,7,5,5,4,2,3,5,1
4,5,5,6,3,4,5,5,1,,4,6,6,4,4,3
4,4,5,2,4,5,4,2,6,6,6,5,3,3,3,3
3,2,1,1,1,4,1,1,4,7,4,4,3,5,4,3
7,5,4,1,4,4,4,2,6,4,5,1,5,3,3,4
4,4,4,4,2,4,4,2,5,5,5,6,3,5,4,3
6,6,6,1,5,5,5,3,6,6,6,2,3,4,4,3
4,4,5,3,4,5,4,4,5,5,5,5,2,4,3,3
3,4,5,1,2,5,4,1,4,5,6,4,4,5,4,4
4,4,5,3,4,4,4,4,6,6,6,5,2,4,4,2
4,5,6,3,4,5,5,3,4,7,7,3,2,4,2,3
6,5,7,2,6,6,6,4,6,7,7,3,2,2,3,3
6,5,5,3,4,5,4,3,6,6,7,2,4,3,4,2
4,1,4,4,5,3,4,4,4,3,4,6,4,4,4,4
5,3,6,3,5,5,6,4,6,6,7,4,3,3,3,3
4,4,5,1,4,3,3,,4,4,4,,,4,3,5
4,3,5,1,4,4,4,1,5,5,5,2,2,5,5,2
4,3,4,1,4,4,5,3,6,6,6,4,2,3,3,3
6,6,6,4,6,6,6,6,7,4,6,6,2,4,3,1
3,4,6,2,3,5,4,4,3,3,4,6,2,3,4,2
3,2,3,1,4,4,4,4,4,4,4,4,2,2,2,5
4,4,5,3,5,5,5,4,6,6,6,4,2,3,5,2
6,3,6,1,4,5,5,2,6,6,6,2,3,5,4,3
,,,,,,,,,,,,,,,
5,4,6,1,4,3,5,3,5,5,7,2,2,3,4,2
5,6,6,1,4,5,5,2,3,4,5,1,2,3,5,2